a,ɑː,,"['conjunction', 'interjection', 'adverb', 'preposition', 'letter', 'noun', 'adjective', 'verb', 'pronoun']"
died,daɪd,,"['verb', 'noun']"
dielectric,ˌdaɪ.ɪˈlɛk.tɹɪk ,,"['adjective', 'noun']"
dies,daɪz,,"['adverb', 'conjunction', 'pronoun', 'verb', 'noun']"
diesel,ˈdiːzəl,,"['verb', 'noun']"
diet,ˈdaɪət,,"['adjective', 'verb', 'noun']"
dietary,ˈdaɪətɹi,,"['adjective', 'noun']"
dietetic,daɪəˈtɛtɪk,,['adjective']
dietitian,daɪəˈtɪʃən,,['noun']
diff,dɪf,,"['verb', 'noun']"
differ,ˈdɪfə,,['verb']
difference,ˈdɪfɹən(t)s,,"['verb', 'noun']"
differences,ˈdɪfɹənsɪz,,"['verb', 'noun']"
different,ˈdɪf.(ə)ɹ.ənt,,"['adverb', 'adjective', 'verb', 'noun']"
differentiable,ˌdɪf.ə(ɹ)ˈɛn.ʃə.bəl,,['adjective']
differential,dɪfəˈɹənʃəɫ,,"['adjective', 'noun']"
differentiate,dɪf.əˈɹɛn.ʃi.eɪt,,"['verb', 'noun']"
differentiation,eɪʃə,,['noun']
differently,ˈdifɹəntli,,['adverb']
difficult,ˈdɪfɪkəlt,,"['adjective', 'verb']"
difficulties,ˈdɪfɪkəltiz,,['noun']
difficulty,ˈdɪfɪkəlti,,['noun']
diffidence,ˈdɪfɪdəns,,['noun']
diffident,ˈdɪfɪdənt,,"['adjective', 'verb']"
diffidently,ˈdɪf.ɪ.dənt.li,,['adverb']
diffraction,dɪˈfɹækʃən,,['noun']
diffuse,dɪˈfjuːz,,"['adverb', 'adjective', 'verb']"
diffusion,dɪˈfjuːʒən,,['noun']
diffusive,dɪˈfjuːsɪv,,['adjective']
dig,dɪɡ,,"['adjective', 'verb', 'pronoun', 'noun']"
digerati,dɪdʒɪˈɹɑːti,,['noun']
digest,daɪˈdʒɛst,,"['adjective', 'verb', 'noun']"
digestible,daɪˈdʒɛstəbəɫ,,['adjective']
digestion,daɪˈdʒɛstʃən,,['noun']
digestive,daɪˈdʒɛstɪv,,"['adjective', 'noun']"
digestives,di.ʒəsˈti.vəs,,"['adjective', 'noun']"
digger,ˈdɪɡɚ,,['noun']
digging,ˈdɪɡɪŋ(ɡ),,"['verb', 'noun']"
digicam,ˈdɪdʒiːkæm,,['noun']
digit,ˈdɪdʒɪt,,"['verb', 'noun']"
digital,ˈdɪd͡ʒɪtl̩,,"['adjective', 'noun']"
digitalis,dɪdʒɪˈtɑːlɪs,,"['adjective', 'noun']"
digitize,ˈdɪdʒɪtaɪz,,['verb']
dignified,ˈdɪɡnɪfaɪd,,"['adjective', 'verb']"
dignify,ˈdɪɡnɪfaɪ,,['verb']
dignitary,ˈdɪɡnɪtɹi,,"['adjective', 'noun']"
dignity,ˈdɪɡnɪti,,['noun']
digraph,ˈdaɪɡɹɑːf,,['noun']
digress,daɪˈɡɹɛs,,['verb']
digression,dʌɪˈɡɹɛʃən,,['noun']
digressive,daɪˈɡɹɛsɪv,,['adjective']
digs,dɪɡz,,"['verb', 'noun']"
dike,ˈdike,,"['adverb', 'verb', 'noun']"
diktat,ɒ,,['noun']
dilapidated,dɪˈlæpɪdeɪtəd,,"['adjective', 'verb']"
dilapidation,dəˌlæp.əˈdeɪ.ʃən,,['noun']
dilatation,ˌdaɪleɪˈteɪʃ(ə)n,,['noun']
dilate,daɪˈleɪt,,['verb']
dilation,daɪˈleɪʃən,,['noun']
dilator,eɪtə(ɹ,,"['verb', 'noun']"
dilatory,ˈdɪlət(ə)ɹi,,['adjective']
dildo,ˈdɪldəʊ,,"['interjection', 'verb', 'noun']"
dilemma,daɪˈlɛmə,,['noun']
dilettante,dɪləˈtɒnti,,"['adjective', 'noun']"
diligence,ˈdɪlɪdʒəns,,['noun']
diligent,ˈdɪlɪdʒənt,,"['adjective', 'verb']"
dill,dɪl,,"['preposition', 'adverb', 'verb', 'noun']"
dills,dɪlz,,['noun']
dilly,ˈdɪli,,"['adjective', 'noun']"
dillydally,ˈdɪliˌdæli,,['verb']
diluent,ˈdɪljuənt,,"['adjective', 'verb', 'noun']"
dilute,daɪˈljuːt,,"['adjective', 'verb', 'noun']"
dilution,daɪˈljuːʃən,,['noun']
dim,dɪm,,"['adjective', 'verb', 'noun']"
dime,daɪm,,"['verb', 'noun']"
dimension,daɪˈmɛnʃən,,"['verb', 'noun']"
dimensional,dɪˈmɛnʃənəl,,['adjective']
dimensions,dɪˈmɛnʃənz,,"['verb', 'noun']"
dimer,ˈdaɪmə(ɹ),,"['adjective', 'noun']"
dimes,daɪmz,,['noun']
diminish,dɪˈmɪnɪʃ,,['verb']
diminished,dɪˈmɪnɪʃt,,"['adjective', 'verb']"
diminuendo,dɪˌmɪnjuːˈɛndəʊ,,"['adverb', 'adjective', 'noun']"
diminution,dɪmɪˈnjuːʃ(ə)n,,['noun']
diminutive,dɪˈmɪn.jʊ.tɪv,,"['adjective', 'noun']"
dimly,ˈdɪmli,,['adverb']
dimmed,dɪmd,,['verb']
dimmer,ˈdɪməɹ,,"['adjective', 'verb', 'noun']"
dimmest,ˈdɪmɪst,,"['adjective', 'verb']"
dimming,ˈdɪmɪŋ,,"['verb', 'noun']"
dimple,ˈdɪmpəl,,"['verb', 'noun']"
dims,dɪmz,,"['verb', 'noun']"
dimwit,ˈdɪmwɪt,,['noun']
din,dɪn,,"['adverb', 'pronoun', 'noun', 'verb', 'preposition']"
dinar,ˈdiːnɑː(ɹ),,"['verb', 'noun']"
dine,daɪn,,"['adverb', 'pronoun', 'adjective', 'verb', 'noun']"
dined,daɪnd,,['verb']
diner,ˈdaɪnə(ɹ),,"['verb', 'noun']"
diners,diˈnes,,['noun']
dines,daɪnz,,"['verb', 'pronoun']"
dinette,daɪˈnɛt,,['noun']
ding,dɪŋ,,"['adjective', 'verb', 'noun']"
dingbat,ˈdɪŋˌbæt,,['noun']
dinghy,ˈdɪŋ(ɡ)i,,"['verb', 'noun']"
dingily,ˈdɪndʒɪli,,['adverb']
dinginess,ˈdɪndʒɪnəs,,['noun']
dinging,ˈdiŋiŋ,,"['adjective', 'verb']"
dingle,ˈdɪŋɡl̩,,"['verb', 'noun']"
dingo,ˈdɪŋɡəʊ,,"['adjective', 'verb', 'noun']"
dingus,ˈdɪŋɡəs,,['noun']
dingy,ˈdɪn.dʒi,,"['adjective', 'noun']"
dining,ˈdaɪnɪŋ(ɡ),,"['verb', 'noun']"
dink,dɪŋk,,"['adverb', 'adjective', 'verb', 'noun']"
dinky,ˈdɪŋki,,"['adjective', 'noun']"
dinned,dɪnd,,['verb']
dinner,ˈdɪnə,,"['verb', 'noun']"
dinning,ˈdɪnɪŋ,,"['verb', 'noun']"
dinosaur,ˈdaɪnəsɔː(ɹ),,['noun']
dins,dɪnz,,"['preposition', 'adverb', 'verb', 'noun']"
dint,dɪnt,,"['verb', 'noun']"
diocesan,dʌɪˈɒsɪsən,,"['adjective', 'noun']"
diocese,ˈdaɪ.ə.sɪs,,['noun']
dioceses,ˈdaɪəsiːz,,['noun']
diode,ˈdaɪəʊd,,['noun']
diorama,ɑːm,,['noun']
dioxide,daɪˈɒksaɪd,,['noun']
dioxin,daɪˈɒksɪn,,['noun']
dip,dɪp,,"['verb', 'noun']"
diphtheria,dɪfˈθɪəɹɪə,,['noun']
diphthong,ˈdɪfˌθɒŋ(ɡ),,['noun']
diploid,ɔɪ,,"['adjective', 'noun']"
diploma,dɪˈpləʊmə,,"['verb', 'noun']"
diplomacy,dɪˈpləʊməsi,,['noun']
diplomat,ˈdɪ.plə.mæt,,"['adjective', 'noun']"
diplomata,diploˈmata,,"['adjective', 'noun']"
diplomatic,ˌdɪpləˈmætɪk,,"['adjective', 'noun']"
diplomatist,dɪˈploʊməˌtɪst,,['noun']
dipole,ˈdʌɪpəʊl,,['noun']
dipped,dɪpt,,"['adjective', 'verb']"
dipper,ˈdɪpə,,['noun']
dipping,ˈdɪpɪŋ,,"['verb', 'noun']"
dippy,ˈdɪpi,,['adjective']
dips,dɪps,,"['verb', 'noun']"
dipso,ˈdɪpsəʊ,,['noun']
dipsomania,ˌdɪpsə(ʊ)ˈmeɪnɪə,,['noun']
dipsomaniac,dɪp.sə(ʊ)ˈmeɪn.i.æk,,['noun']
dipstick,ˈdɪpstɪk,,"['verb', 'noun']"
diptych,ˈdɪptɪk,,['noun']
dire,ˈdaɪ̯ə(ɹ),,"['adjective', 'verb', 'noun']"
direct,d(a)ɪˈɹɛkt,,"['adverb', 'adjective', 'verb']"
directed,dɪˈɹɛktɪd,,"['adjective', 'verb']"
directer,di.ʁɛk.te,,"['adjective', 'verb', 'noun']"
direction,d(a)ɪˈɹɛk.ʃən,,['noun']
directional,dɪˈɹɛk.ʃə.nəl,,"['adjective', 'noun']"
directions,dɪˈɹɛk.ʃənz,,['noun']
directive,daɪˈɹɛk.tɪv,,"['adjective', 'noun']"
directly,dɪˈɹɛk(t)li,,"['adverb', 'conjunction']"
director,dɪˈɹɛktə(ɹ),,"['adjective', 'noun']"
directorate,dɪˈɹɛktəɹət,,['noun']
directors,dɪˈɹɛktɚz,,['noun']
directory,dɪˈɹɛktəɹi,,"['adjective', 'noun']"
dirge,dɜːdʒ,,"['verb', 'noun']"
dirigible,ˈdɪɹɪdʒəbəɫ,,"['adjective', 'noun']"
dirigibles,ˈdɪ.ɹɪdʒ.ə.bəlz,,['noun']
dirk,dɜːk,,"['verb', 'noun']"
dirndl,ˈdɪəndəɫ,,['noun']
dirt,dɜːt,,"['verb', 'noun']"
dirty,ˈdɜːti,,"['adverb', 'adjective', 'verb']"
dis,dɪs,,"['pronoun', 'noun', 'adjective', 'verb', 'preposition']"
disability,dɪsəˈbɪlɪti,,['noun']
disable,dɪsˈeɪbəɫ,,"['adjective', 'verb']"
disabled,dɪsˈeɪbəɫd,,"['adjective', 'verb', 'noun']"
disablement,dɪsˈeɪbəl.mənt,,['noun']
disabuse,dɪsəˈbjuːz,,['verb']
disadvantage,ˌdɪsədˈvɑːntɪdʒ,,"['verb', 'noun']"
disadvantageous,dɪsˌædvənˈteɪdʒəs,,['adjective']
disaffect,dɪsəˈfɛkt,,['verb']
disaffected,dɪsəˈfɛktɪd,,"['adjective', 'verb']"
disaffection,dɪsəˈfɛkʃən,,['noun']
disagree,dɪsəˈɡɹiː,,['verb']
disagreeable,dɪsəˈɡɹi.əbəɫ,,"['adjective', 'noun']"
disagreement,dɪsəˈɡɹiːmənt,,['noun']
disallow,dɪsəˈlaʊ,,['verb']
disallowed,aʊ,,"['adjective', 'verb']"
disallows,aʊ,,['verb']
disambiguate,dɪ.samˈbɪɡjuːeɪt,,['verb']
disambiguation,dɪsæmˌbɪɡjuːˈeɪʃən,,['noun']
disappear,dɪsəˈpɪə,,['verb']
disappearance,dɪsəˈpɪəɹəns,,['noun']
disappeared,dɪsəˈpɪəd,,"['adjective', 'verb']"
disappoint,dɪsəˈpɔɪnt,,"['adjective', 'verb']"
disappointed,ˌdɪsəˈpɔɪntɪd,,"['adjective', 'verb']"
disappointing,ɔɪntɪ,,"['adjective', 'verb']"
disappointment,dɪsəˈpɔɪntmənt,,['noun']
disapprobation,dɪsˌæpɹəˈbeɪʃən,,['noun']
disapproval,dɪsəˈpɹuvəl,,['noun']
disapprove,dɪsəˈpɹuːv,,['verb']
disarm,dɪsˈɑː(ɹ)m,,"['verb', 'noun']"
disarmament,dɪsˈɑː(r)məmənt,,['noun']
disarray,dɪsəˈɹeɪ,,"['verb', 'noun']"
disassemble,dɪsəˈsɛmbəɫ,,['verb']
disassembly,dɪsəˈsɛmbli,,['noun']
disassociate,dɪsəˈsəʊʃieɪt,,['verb']
disassociation,eɪʃə,,['noun']
disaster,dɪˈzæs.tɚ,,['noun']
disastrous,dɪˈzɑːstɹəs,,['adjective']
disavow,dɪsəˈvaʊ,,['verb']
disavowal,dɪsəˈvaʊ(ə)ɫ,,['noun']
disavowed,dɪsəˈvaʊd,,"['adjective', 'verb']"
disband,dɪsˈbænd,,['verb']
disbar,dɪsˈbɑː(ɹ),,['verb']
disbarment,dɪsˈbɑːmənt,,['noun']
disbelief,dɪsbɪˈliːf,,['noun']
disbelieve,dɪsbɪˈliːv,,['verb']
disbelieving,dɪsbɪˈliːvɪŋ(ɡ),,"['adjective', 'verb']"
disbursal,dɪsˈbɜːsəɫ,,['noun']
disburse,dɪsˈbɝs,,['verb']
disc,dɪsk,,"['verb', 'noun']"
discard,dɪsˈkɑːd,,"['verb', 'noun']"
discarded,dɪsˈkɑɹdɪd,,['verb']
discern,ɜː(ɹ),,['verb']
discerned,dɪˈsɝnd,,['verb']
discernible,dɪˈsɝnɪbl̩,,['adjective']
discernibly,dɪˈsɜː(ɹ)nɪbli,,['adverb']
discerning,dɪˈsɜːn.iŋ,,"['adjective', 'verb', 'noun']"
discharge,dɪsˈtʃɑːdʒ,,"['verb', 'noun']"
discharged,dɪsˈtʃɑɹdʒd,,['verb']
disciple,dɪˈsaɪpl̩,,"['verb', 'noun']"
disciples,dɪˈsaɪpl̩z,,['noun']
disciplinarian,dɪsɪplɪˈnɛəɹɪən,,"['adjective', 'noun']"
disciplinary,dɪsɪˈplɪnəɹi,,"['adjective', 'noun']"
discipline,ˈdɪ.sə.plɪn,,"['verb', 'noun']"
disciplined,ˈdɪsɪplɪnd,,"['adjective', 'verb']"
disclaim,dɪsˈkleɪm,,['verb']
disclaimer,dɪsˈkleɪm.ɚ,,"['verb', 'noun']"
disclaimers,dɪsˈkleɪm.ɚz,,['noun']
disclaims,dɪsˈkleɪmz,,['verb']
disclose,dɪsˈkləʊz,,"['verb', 'noun']"
disclosure,dɪsˈkləʊʒə(ɹ),,['noun']
disco,ˈdɪskəʊ,,"['adjective', 'verb', 'noun']"
discographies,dɪskɒɡɹəfɪz,,['noun']
discography,ˌdɪsˈkɒɡɹəfi,,['noun']
discolor,ˈdis.ko.lor,,"['adjective', 'verb']"
discoloration,eɪʃə,,['noun']
discombobulate,ˌdɪs.kəmˈbɒb.jəˌleɪt,,['verb']
discomfit,dɪsˈkʌmfɪt,,"['adjective', 'verb']"
discomfiting,dɪsˈkʌmfɪtɪŋ,,"['adjective', 'verb']"
discomfiture,dɪsˈkʌmfɪtʃə(ɹ),,['noun']
discomfort,dɪsˈkʌmfət,,"['verb', 'noun']"
discommode,ˌdɪskəˈməʊd,,['verb']
disconcert,ˌdɪskənˈsɜːt,,"['verb', 'noun']"
disconcerted,ˌdɪskənˈsɜːtəd,,"['adjective', 'verb']"
disconcerting,ˌdɪskənˈsɜːtɪŋ,,['adjective']
disconcertingly,ˌdɪskənˈsɜːtɪŋli,,['adverb']
disconnect,dɪskəˈnɛkt,,"['verb', 'noun']"
disconnected,ˌdɪskəˈnɛktəd,,"['adjective', 'verb']"
disconnection,dɪskəˈnɛkʃən,,['noun']
disconsolate,dɪsˈkɑnsəlɪt,,"['adjective', 'noun']"
discontent,ˌdɪskənˈtɛnt,,"['adjective', 'verb', 'noun']"
discontented,ˌdɪskənˈtɛntɛd,,['adjective']
discontentment,dɪskənˈtɛntmənt,,['noun']
discontinuation,eɪʃə,,['noun']
discontinue,dɪskənˈtɪnju,,"['adjective', 'verb']"
discontinued,ˌdɪskənˈtɪnjuːd,,"['adjective', 'verb']"
discontinuity,ˌdɪskɒntɪˈnjuːɪti,,['noun']
discord,ˈdɪskɔɹd,,"['verb', 'noun']"
discordant,dɪsˈkɔːdənt,,"['adjective', 'verb']"
discotheque,ˈdɪskəˌtɛk,,['noun']
discount,dɪsˈkaʊnt,,"['adjective', 'verb', 'noun']"
discountenance,dɪsˈkaʊntənəns,,"['verb', 'noun']"
discourage,dɪsˈkʌɹɪd͡ʒ,,"['verb', 'noun']"
discouraged,dɪsˈkʌɹɪd͡ʒd,,"['adjective', 'verb']"
discouraging,dɪsˈkʌɹɪdʒɪŋ,,"['adjective', 'verb', 'noun']"
discourse,ˈdɪskɔː(ɹ)s,,"['verb', 'noun']"
discourteous,dɪsˈkɜːtɪəs,,['adjective']
discourtesy,dɪsˈkɜːtəzi,,['noun']
discover,dɪsˈkʌvə,,['verb']
discovered,dɪsˈkʌvəd,,['verb']
discoveries,dɪsˈkʌvəɹiz,,['noun']
discovering,dɪsˈkʌvəɹɪŋ,,"['verb', 'noun']"
discovery,dɪsˈkʌvəɹi,,['noun']
discredit,dɪsˈkrɛdɪt,,"['verb', 'noun']"
discreet,dɪˈskɹiːt,,['adjective']
discrepancy,dɪsˈkɹɛpənsi,,['noun']
discrepant,ˈdɪskɹɪpənt,,"['adjective', 'verb', 'noun']"
discrete,dɪsˈkɹiːt,,"['adjective', 'noun']"
discretely,dɪsˈkɹiːt.li,,['adverb']
discretion,dɪˈskɹɛʃən,,['noun']
discretionary,dɪˈskɹɛʃən(ə)ɹi,,['adjective']
discriminant,ˌdɪs.kri.miˈnɑnt,,"['adjective', 'verb', 'noun']"
discriminate,dɪsˈkɹɪmɪneɪt,,"['adjective', 'verb']"
discriminating,dɪsˈkɹɪmɪneɪtɪŋ(ɡ),,"['adjective', 'verb']"
discrimination,dɪskɹɪmɪˈneɪʃən,,['noun']
discriminator,dis.kriː.miˈnaː.tor,,"['verb', 'noun']"
discriminatory,dɪsˈkɹɪmɪnət(ə)ɹɪ,,['adjective']
discursive,dɪsˈkɜː(ɹ)sɪv,,['adjective']
discus,ˈdɪs.kəs,,['noun']
discuss,dɪsˈkʌs,,['verb']
discussant,dɪˈskʌsənt,,['noun']
discussed,dɪsˈkʌst,,['verb']
discussing,dɪsˈkʌsɪŋ,,['verb']
discussion,dɪˈskʌʃən,,['noun']
discussions,dɪˈskʌʃənz,,['noun']
disdain,dɪsˈdeɪn,,"['verb', 'noun']"
disdainful,dɪsˈdeɪn.fəl,,['adjective']
disease,dɪˈziːz,,"['verb', 'noun']"
diseased,dɪˈziːzd,,"['adjective', 'verb']"
diseases,dɪˈziːzɪz,,"['verb', 'noun']"
disembark,ˌdɪs.ɪmˈbɑːk,,['verb']
disembarkation,ˌdɪsɪmbɑːˈkeɪʃən,,['noun']
disembodied,dɪsɪmˈbɒdiːd,,"['adjective', 'verb']"
disembowel,dɪsɪmˈbaʊ(ə)ɫ,,['verb']
disenchant,ˌdɪsɪnˈtʃɑːnt,,['verb']
disenchantment,ˌdɪsɪnˈtʃɑːntmənt,,['noun']
disenfranchise,ˌdɪs.ɪnˈfɹæn.tʃaɪz,,['verb']
disenfranchisement,ˌdɪs.ɪnˈfɹæn.tʃaɪzmənt,,['noun']
disengage,ˌdɪsɪŋˈɡeɪdʒ,,"['verb', 'noun']"
disengaged,dɪsɪnˈɡeɪdʒd,,"['adjective', 'verb']"
disengagement,ˌdɪs.ɪŋˈɡeɪdʒ.mənt,,['noun']
disentangle,ˌdɪsɪnˈtæŋɡəɫ,,['verb']
disestablish,dɪsɪˈstæblɪʃ,,['verb']
disestablishment,dɪs.ɪsˈtæblɪʃ.mənt,,['noun']
disesteem,ˌdɪsəˈstiːm,,"['verb', 'noun']"
disfigure,dɪsˈfɪɡə,,['verb']
disgorge,dɪsˈɡɔːdʒ,,['verb']
disgrace,dɪsˈɡɹeɪs,,"['verb', 'noun']"
disgraceful,dɪsˈɡɹeɪsfəɫ,,['adjective']
disgruntle,dɪsˈɡɹʌnt(ə)l,,['verb']
disgruntled,dɪsˈɡɹʌntl̩d,,"['adjective', 'verb']"
disgruntlement,dɪsˈɡɹʌntəlmɪnt,,['noun']
disguise,dɪsˈɡaɪz,,"['verb', 'noun']"
disguised,dɪsˈɡaɪzd,,"['adjective', 'verb']"
disgust,dɪsˈɡʌst,,"['verb', 'noun']"
disgusted,dɪsˈɡʌstɪd,,"['adjective', 'verb']"
disgusting,dɪsˈkʌstɪŋ,,"['adjective', 'verb']"
dish,dɪʃ,,"['verb', 'noun']"
dishabille,dɪsəˈbiːl,,['noun']
disharmonious,dɪshɑːˈməʊni.əs,,['adjective']
disharmony,dɪsˈhɑːməni,,['noun']
dishearten,dɪsˈhɑː.tən,,['verb']
dished,dɪʃt,,"['adjective', 'verb']"
dishes,ˈdɪʃɪz,,"['verb', 'noun']"
dishevel,dɪ(s)ˈʃɛvəɫ,,['verb']
dishing,ˈdɪʃɪŋ,,"['adjective', 'verb', 'noun']"
dishonest,dɪˈsɒnɪst,,['adjective']
dishonestly,disˈɔnɛstliː,,['adverb']
dishonesty,dɪsˈɒnɪ.sti,,"['adjective', 'noun']"
dishonor,dɪsˈɑnəɹ,,"['verb', 'noun']"
dishonored,dɪsˈɒnəd,,"['adjective', 'verb']"
dishwasher,ˈdɪʃˌwɒʃə,,['noun']
dishy,ˈdɪʃ.i,,['adjective']
disillusion,dɪs.ɪˈluːʒən,,"['verb', 'noun']"
disillusioned,dɪs.ɪˈluːʒənd,,"['adjective', 'verb']"
disillusionment,dɪsɪˈluʒənmənt,,['noun']
disincentive,ˌdɪsɪnˈsɛntɪv,,['noun']
disinclination,eɪʃə,,['noun']
disinclined,dɪs.ɪŋˈklaɪnd,,"['adjective', 'verb']"
disinfect,dɪs.ɪnˈfɛkt,,['verb']
disinfectant,dɪs.ɪnˈfɛktənt,,"['adjective', 'noun']"
disinfection,dɪsɪnˈfɛkʃən,,['noun']
disinformation,ˌdɪsɪnfəˈmeɪʃ(ə)n,,['noun']
disingenuous,ˌdɪs.ɪnˈdʒɛn.ju.əs,,['adjective']
disingenuously,ˌdɪs.ɪnˈdʒɛn.ju.əs.li,,['adverb']
disinherit,ˌdɪsɪnˈhɛɹɪt,,['verb']
disintegrate,dɪsˈɪntɪɡɹeɪt,,['verb']
disintegration,dɪs.ɪn.tɪˈɡɹeɪʃən,,['noun']
disinter,ˌdɪsɪnˈtɜː(ɹ),,['verb']
disinterest,dɪsˈɪntɹɛst,,"['adjective', 'verb', 'noun']"
disinterested,dɪˈsɪnt(ə)ɹɛstɪd,,['adjective']
disinterestedly,dɪsˈɪnt(ə)ɹɛstɪdli,,['adverb']
disjoint,dɪsˈdʒɔɪnt,,"['adjective', 'verb']"
disjointed,dɪsˈdʒɔɪn.tɪd,,['adjective']
disjunctive,dɪsˈdʒʌŋktɪv,,"['adjective', 'noun']"
disk,dɪsk,,"['verb', 'noun']"
diskette,dɪsˈkɛt,,['noun']
dislike,dɪsˈlaɪk,,"['verb', 'noun']"
disliked,aɪk,,['verb']
dislocate,dɪsləʊˈkeɪt,,['verb']
dislocation,dɪsləʊˈkeɪʃən,,['noun']
dislodge,dɪsˈlɒdʒ,,['verb']
disloyal,dɪsˈlɔɪ(j)əɫ,,['adjective']
disloyalty,dɪsˈlɔɪ.(j)əɫ.ti,,['noun']
dismal,ˈdɪzməl,,['adjective']
dismally,ˈdɪz.mə.li,,['adverb']
dismantle,dɪsˈmæntəl,,['verb']
dismay,dɪsˈmeɪ,,"['verb', 'noun']"
dismember,ˌdɪsˈmɛmbə(ɹ),,['verb']
dismiss,dɪsˈmɪs,,['verb']
dismissal,dɪsˈmɪsəɫ,,['noun']
dismissed,dɪsˈmɪst,,['verb']
dismissive,dɪsˈmɪs.ɪv,,['adjective']
dismount,dɪsˈmaʊnt,,"['verb', 'noun']"
disobedience,dɪs.əˈbiː.dɪəns,,['noun']
disobedient,dɪs.əˈbiː.dɪənt,,"['adjective', 'noun']"
disobey,dɪs.əˈbeɪ,,['verb']
disorder,dɪsˈɔːdə(ɹ),,"['verb', 'noun']"
disordered,dɪsˈɔɹdɚd,,"['adjective', 'verb']"
disorderly,dɪsˈɔː.də.li,,"['adverb', 'adjective', 'noun']"
disorganization,dɪˌsoɹɡəˌnaɪˈzeɪʃən,,['noun']
disorganized,dɪsˈɔːɡənaɪzd,,"['adjective', 'verb']"
disorient,dɪsˈɔːɹi.ənt,,['verb']
disorientation,dɪsˌɔːɹɪənˈteɪʃən,,['noun']
disown,dɪsˈəʊn,,['verb']
disparage,dɪsˈpæɹɪd͡ʒ,,"['verb', 'noun']"
disparaging,dɪsˈpæɹɪdʒɪŋ(ɡ),,"['adjective', 'verb', 'noun']"
disparate,ˈdɪsp(ə)ɹət,,"['adjective', 'verb', 'noun']"
disparity,dɪsˈpæɹɪti,,['noun']
dispassion,dɪsˈpæʃən,,['noun']
dispassionate,dɪsˈpæʃənət,,['adjective']
dispatch,dəˈspætʃ,,"['verb', 'noun']"
dispatcher,ˈdɪs.pætʃ.ə(ɹ),,"['verb', 'noun']"
dispel,ɛ,,"['verb', 'noun']"
dispensable,dɪsˈpɛnsəbəl,,['adjective']
dispensary,dɪsˈpɛnsəɹi,,['noun']
dispensation,dɪsˌpɛnˈseɪʃən,,['noun']
dispense,dɪsˈpɛns,,"['verb', 'noun']"
dispenser,dɪˈspɛnsə,,"['verb', 'noun']"
dispersal,ɜː(ɹ)sə,,['noun']
disperse,dɪˈspɜːs,,"['adjective', 'verb', 'noun']"
dispersed,dɪˈspɜ˞st,,['verb']
dispersion,dɪˈspɜːʒən,,['noun']
dispirit,ɪrɪ,,['verb']
dispirited,dɪˈspɪɹɪtəd,,"['adjective', 'verb']"
displace,dɪsˈpleɪs,,['verb']
displacement,dɪsˈpleɪsmɪnt,,['noun']
display,dɪsˈpleɪ,,"['verb', 'noun']"
displayed,dɪsˈpleɪd,,"['adjective', 'verb']"
displaying,dɪsˈpleɪ.ɪŋ,,['verb']
displays,dɪsˈpleɪz,,"['verb', 'noun']"
displease,dɪsˈpliːz,,['verb']
displeased,dɪsˈpliːzd,,"['adjective', 'verb']"
displeasing,dɪsˈpliːzɪŋ,,"['adjective', 'verb']"
displeasure,dɪsˈplɛʒə,,"['verb', 'noun']"
disport,dɪˈspɔːt,,"['verb', 'noun']"
disposable,dɪsˈpəʊzəbl̩,,"['adjective', 'noun']"
disposal,dɪsˈpəʊzəɫ,,['noun']
dispose,dɪsˈpoʊz,,"['verb', 'noun']"
disposed,dɪˈspoʊzd,,"['adjective', 'verb']"
disposer,dis.po.ze,,"['verb', 'noun']"
disposes,disˈpɔ.zəs,,['verb']
disposition,ˌdɪs.pəˈzɪ.ʃən,,"['verb', 'noun']"
dispossess,dɪspəˈzəs,,['verb']
dispossession,dɪspəˈzɛʃn̩,,['noun']
dispraise,dɪˈspɹeɪz,,"['verb', 'noun']"
disproportion,dɪspɹəˈpɔːʃən,,"['verb', 'noun']"
disproportional,dɪspɹəˈpɔːʃənəɫ,,['adjective']
disproportionate,dɪspɹəˈpɔːʃənət,,"['adjective', 'verb']"
disprove,dɪsˈpɹuːv,,['verb']
disputable,dɪsˈpjuːtəbəɫ,,['adjective']
disputant,dəˈspjutənt,,"['adjective', 'verb', 'noun']"
disputation,dɪsˌpjuːˈteɪʃən,,['noun']
disputatious,ˌdɪspjʊˈteɪʃəs,,['adjective']
dispute,ˈdɪs.pjuːt,,"['verb', 'noun']"
disputed,dɪsˈpjuːtɪd,,"['adjective', 'verb']"
disputer,dis.py.te,,"['verb', 'noun']"
disputes,disˈpu.təs,,"['verb', 'noun']"
disqualification,dɪsˌkwɒlɪfɪˈkeɪʃən,,['noun']
disqualify,dɪsˈkwɒlɪfaɪ,,['verb']
disquiet,dɪsˈkwaɪət,,"['adjective', 'verb', 'noun']"
disquietude,dɪˈskwaɪə.tjuːd,,['noun']
disquisition,ˌdɪskwɪˈzɪʃ(ə)n,,['noun']
disregard,dɪsɹɪˈɡɑːd,,"['verb', 'noun']"
disregarded,dɪsɹɪˈɡɑɹdɪd,,"['adjective', 'verb']"
disrepair,ˌdɪs.ɹɪˈpɛə(ɹ),,"['verb', 'noun']"
disreputable,dɪsˈɹɛpjʊtəbəl,,"['adjective', 'noun']"
disrepute,dɪsɹɪˈpjuːt,,"['verb', 'noun']"
disrespect,dɪsɹɪˈspɛkt,,"['verb', 'noun']"
disrespectful,dɪsɹɪˈspɛktfəɫ,,['adjective']
disrobe,dɪsˈɹəʊb,,['verb']
